Program,instructions,cache-references,cache-misses,branch-instructions,branch-misses,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,duration_time
p0007l00s000378.c,911562,16814,2136,188712,8852,0,0,0,0.42,0,0,0,0,68,68,0.42,684066
p0007l00s000234.c,1165991,16689,2078,269339,8953,0,0,0,0.46,0,0,0,0,70,70,0.46,722864
p0007l00s000302.c,1184638,17621,2569,267804,9147,0,0,0,0.48,0,0,0,0,67,67,0.48,764598
p0007l00s000170.c,1144619,17000,2071,265548,9047,0,0,0,0.46,0,0,0,0,67,67,0.46,726576
p0007l00s000196.c,1145553,16883,2107,265799,9008,0,0,0,0.46,0,0,0,0,67,67,0.46,728644
p0007l00s000472.c,1150378,16944,2169,266855,9014,0,0,0,0.46,0,0,0,0,68,68,0.46,727502
p0007l00s000175.c,1093837,16852,2154,239556,9915,0,0,0,0.45,0,0,0,0,68,68,0.45,715636
p0007l00s000166.c,921571,17065,2153,185538,8862,0,0,0,0.42,0,0,0,0,69,69,0.42,684762
p0007l00s000634.c,1166585,17015,2066,266098,8997,0,0,0,0.46,0,0,0,0,67,67,0.46,716658
p0007l00s000388.c,1136503,16750,2008,264003,8871,0,0,0,0.46,0,0,0,0,66,66,0.46,724452
p0007l00s000247.c,1162737,17271,2289,267526,9126,0,0,0,0.47,0,0,0,0,68,68,0.47,766173
p0007l00s000015.c,1151009,16961,2185,266930,8960,0,0,0,0.46,0,0,0,0,67,67,0.46,727225
p0007l00s000457.c,1181715,16693,2156,264965,9103,0,0,0,0.46,0,0,0,0,67,67,0.46,767483
p0007l00s000619.c,1206207,16666,944,246104,9029,0,0,0,0.43,0,0,0,0,68,68,0.43,652800
p0007l00s000565.c,869362,17139,2176,178092,8724,0,0,0,0.41,0,0,0,0,68,68,0.41,698657
p0007l00s000325.c,1161267,16966,2123,264789,8972,0,0,0,0.44,0,0,0,0,67,67,0.44,669441
p0007l00s000009.c,1145441,16913,2153,265805,9093,0,0,0,0.46,0,0,0,0,67,67,0.46,721576
p0007l00s000484.c,1180160,17438,2291,271019,9092,0,0,0,0.47,0,0,0,0,69,69,0.47,742037
p0007l00s000042.c,1158974,17056,1088,268434,9075,0,0,0,0.44,0,0,0,0,69,69,0.44,653348
p0007l00s000516.c,1178386,16978,1602,267180,9136,0,0,0,0.44,0,0,0,0,67,67,0.44,667680
p0007l00s000087.c,1203227,16897,2191,269382,9049,0,0,0,0.46,0,0,0,0,69,69,0.46,738219
p0007l00s000205.c,1158829,17010,2031,267838,9127,0,0,0,0.46,0,0,0,0,68,68,0.46,759428
p0007l00s000241.c,925127,16992,2225,192024,8961,0,0,0,0.42,0,0,0,0,70,70,0.42,688896
p0007l00s000541.c,860796,16909,2109,175968,8749,0,0,0,0.41,0,0,0,0,66,66,0.41,674472
p0007l00s000455.c,1147852,17007,2102,266176,8978,0,0,0,0.46,0,0,0,0,67,67,0.46,725315
p0007l00s000328.c,1152211,17037,1576,266504,9015,0,0,0,0.45,0,0,0,0,68,68,0.45,682864
p0007l00s000430.c,1164072,16807,1591,268637,8968,0,0,0,0.44,0,0,0,0,68,68,0.44,666740
p0007l00s000646.c,1162834,17132,2090,269439,9051,0,0,0,0.47,0,0,0,0,68,68,0.47,744431
p0007l00s000561.c,1151192,16673,2066,266507,9119,0,0,0,0.46,0,0,0,0,68,68,0.46,727799
p0007l00s000547.c,1142062,17328,2094,264981,9009,0,0,0,0.46,0,0,0,0,67,67,0.47,728329
p0007l00s000067.c,1139601,16764,1954,264589,9092,0,0,0,0.45,0,0,0,0,66,66,0.45,722804
p0007l00s000542.c,909780,16784,2058,188751,8756,0,0,0,0.42,0,0,0,0,69,69,0.42,686287
p0007l00s000093.c,1063842,17433,2455,237468,9040,0,0,0,0.45,0,0,0,0,66,66,0.45,735805
p0007l00s000540.c,1179483,17377,1669,267695,9112,0,0,0,0.46,0,0,0,0,69,69,0.46,722313
p0007l00s000321.c,1160094,16943,2202,268772,9026,0,0,0,0.46,0,0,0,0,68,68,0.46,746502
p0007l00s000085.c,1143977,16911,2281,264886,9059,0,0,0,0.46,0,0,0,0,67,67,0.46,722392
p0007l00s000411.c,911994,17173,2142,189093,8810,0,0,0,0.42,0,0,0,0,69,69,0.42,683964
p0007l00s000037.c,1220607,17626,2282,271571,9118,0,0,0,0.47,0,0,0,0,69,69,0.47,753906
p0007l00s000422.c,1157168,17000,2151,268185,9079,0,0,0,0.46,0,0,0,0,68,68,0.46,771076
p0007l00s000174.c,866732,16981,2048,177607,8773,0,0,0,0.41,0,0,0,0,68,68,0.41,667029
p0007l00s000114.c,1137455,16861,2078,264050,9066,0,0,0,0.46,0,0,0,0,66,66,0.46,739257
p0007l00s000556.c,1162322,17071,1665,268084,9052,0,0,0,0.46,0,0,0,0,68,68,0.46,703651
p0007l00s000521.c,1144808,16813,2117,265633,9105,0,0,0,0.46,0,0,0,0,67,67,0.46,732227
p0007l00s000089.c,1064650,16864,2119,236206,8890,0,0,0,0.44,0,0,0,0,68,68,0.44,709589
p0007l00s000421.c,1184740,16839,2075,269374,8970,0,0,0,0.46,0,0,0,0,70,70,0.46,729162
p0007l00s000065.c,1159142,17535,1346,267249,9124,0,0,0,0.43,0,0,0,0,67,67,0.43,698876
p0007l00s000155.c,1633822,17924,2476,258985,9045,0,0,0,0.73,0,0,0,0,68,68,0.73,976867
p0007l00s000018.c,1169214,17070,2079,269659,9112,0,0,0,0.47,0,0,0,0,69,69,0.47,735898
p0007l00s000075.c,1166719,17191,2122,265413,8930,0,0,0,0.46,0,0,0,0,67,67,0.46,723230
p0007l00s000142.c,1148080,16624,2152,265801,9105,0,0,0,0.46,0,0,0,0,68,68,0.46,731557
p0007l00s000576.c,1163884,17065,2088,269568,9134,0,0,0,0.46,0,0,0,0,69,69,0.46,693515
p0007l00s000238.c,1184244,17174,2289,269577,9034,0,0,0,0.46,0,0,0,0,69,69,0.46,722433
p0007l00s000531.c,1014793,17025,2135,221001,8983,0,0,0,0.43,0,0,0,0,66,66,0.43,700251
p0007l00s000442.c,897502,17366,2345,181816,8839,0,0,0,0.42,0,0,0,0,68,68,0.42,684476
p0007l00s000180.c,1177158,17918,2346,271177,9516,0,0,1,0.49,0,0,0,0,68,68,0.49,763036
p0007l00s000398.c,908932,16725,2016,188989,8752,0,0,0,0.41,0,0,0,0,68,68,0.41,690944
p0007l00s000351.c,1138994,16957,2072,264401,8977,0,0,0,0.46,0,0,0,0,66,66,0.46,732772
p0007l00s000304.c,1175543,17366,2600,271739,9189,0,0,0,0.48,0,0,0,0,70,70,0.48,744112
p0007l00s000043.c,1155380,17223,2200,267700,9111,0,0,0,0.46,0,0,0,0,68,68,0.47,731528
