Program,instructions,cache-references,cache-misses,branch-instructions,branch-misses,alignment-faults,bpf-output,context-switches,cpu-clock,cpu-migrations,dummy,emulation-faults,major-faults,minor-faults,page-faults,task-clock,duration_time
p0583l00s000313.c,867815,16966,2211,177727,8709,0,0,0,0.41,0,0,0,0,68,68,0.41,682257
p0583l00s000000.c,853628,16976,2027,174822,8772,0,0,0,0.40,0,0,0,0,66,66,0.40,666469
p0583l00s000084.c,869689,17162,2144,177570,8736,0,0,0,0.43,0,0,0,0,69,69,0.43,738308
p0583l00s000220.c,865123,17054,1588,177189,8765,0,0,0,0.40,0,0,0,0,68,68,0.40,651395
p0583l00s000122.c,883510,17143,2512,181615,8886,0,0,0,0.42,0,0,0,0,67,67,0.42,683910
p0583l00s000294.c,874177,17819,2458,178563,8940,0,0,0,0.43,0,0,0,0,67,67,0.43,680531
p0583l00s000055.c,855171,16782,2145,175264,8716,0,0,0,0.41,0,0,0,0,67,67,0.41,682138
p0583l00s000157.c,872324,17000,2157,178563,8700,0,0,0,0.41,0,0,0,0,68,68,0.41,678461
p0583l00s000117.c,875544,17361,1343,178653,8760,0,0,0,0.39,0,0,0,0,70,70,0.39,639111
p0583l00s000242.c,874090,17350,2302,178821,8738,0,0,0,0.40,0,0,0,0,70,70,0.40,673558
p0583l00s000169.c,1518379,30730,15143,290973,9241,0,0,0,0.85,0,0,0,0,263,263,0.85,1118141
p0583l00s000384.c,860024,16929,2025,176155,8749,0,0,0,0.40,0,0,0,0,66,66,0.40,638532
p0583l00s000085.c,871711,16865,1483,178766,8727,0,0,0,0.40,0,0,0,0,68,68,0.40,628901
p0583l00s000459.c,1021340,20628,4461,204266,8991,0,0,0,0.50,0,0,0,0,115,115,0.50,813435
p0583l00s000377.c,898257,17664,2351,182296,8800,0,0,0,0.42,0,0,0,0,69,69,0.42,688699
p0583l00s000476.c,873806,17341,2313,178805,8741,0,0,0,0.41,0,0,0,0,70,70,0.41,683058
p0583l00s000455.c,866770,16978,2082,177451,8677,0,0,0,0.41,0,0,0,0,69,69,0.41,685224
p0583l00s000237.c,884456,17112,2207,180748,8809,0,0,0,0.41,0,0,0,0,71,71,0.41,684446
p0583l00s000381.c,1027133,20828,2365,204703,8904,0,0,0,0.53,0,0,0,0,116,116,0.53,765713
p0583l00s000500.c,871351,17401,2201,178301,8745,0,0,0,0.41,0,0,0,0,69,69,0.41,692288
p0583l00s000213.c,880779,17189,2370,180500,8747,0,0,0,0.42,0,0,0,0,70,70,0.42,684752
p0583l00s000159.c,859467,17021,2175,175946,8651,0,0,0,0.41,0,0,0,0,67,67,0.41,719757
p0583l00s000331.c,1104814,22357,6922,219226,8901,0,0,0,0.57,0,0,0,0,141,141,0.57,837290
p0583l00s000391.c,864037,17231,2192,177002,8771,0,0,0,0.41,0,0,0,0,68,68,0.41,667062
p0583l00s000025.c,875578,17546,1393,178068,8823,0,0,0,0.39,0,0,0,0,69,69,0.39,649368
p0583l00s000402.c,894549,17631,2368,181907,8858,0,0,0,0.42,0,0,0,0,70,70,0.42,687286
p0583l00s000464.c,867150,17131,2094,177493,8866,0,0,0,0.41,0,0,0,0,69,69,0.41,630799
p0583l00s000047.c,867335,17217,2250,177586,8870,0,0,0,0.41,0,0,0,0,69,69,0.41,677374
p0583l00s000290.c,1111455,22534,7000,219961,8961,0,0,0,0.57,0,0,0,0,141,141,0.57,845582
p0583l00s000265.c,1116917,22695,6654,220502,9052,0,0,0,0.57,0,0,0,0,140,140,0.57,830739
p0583l00s000001.c,878465,17087,2447,178267,8760,0,0,0,0.42,0,0,0,0,67,67,0.42,678499
p0583l00s000196.c,862604,16933,2175,176769,8708,0,0,0,0.41,0,0,0,0,67,67,0.41,672763
p0583l00s000042.c,867868,17061,2217,177911,8681,0,0,0,0.41,0,0,0,0,69,69,0.41,690648
p0583l00s000264.c,859474,17101,2317,176033,8672,0,0,0,0.41,0,0,0,0,67,67,0.41,682161
p0583l00s000010.c,882159,17107,1400,180448,8796,0,0,0,0.39,0,0,0,0,72,72,0.39,642048
p0583l00s000443.c,874460,17134,2260,178637,8782,0,0,0,0.41,0,0,0,0,70,70,0.41,677331
p0583l00s000247.c,868734,17212,2344,178005,8653,0,0,0,0.40,0,0,0,0,67,67,0.40,677108
p0583l00s000329.c,879120,17221,2274,178785,8751,0,0,0,0.41,0,0,0,0,68,68,0.41,719882
p0583l00s000020.c,865657,16773,2181,177340,8722,0,0,0,0.41,0,0,0,0,67,67,0.41,648903
p0583l00s000347.c,892402,17589,1976,180783,8923,0,0,0,0.41,0,0,0,0,69,69,0.41,639366
p0583l00s000256.c,866778,17201,2159,177060,8772,0,0,0,0.41,0,0,0,0,67,67,0.41,664726
p0583l00s000315.c,862626,17306,1563,176799,8811,0,0,0,0.40,0,0,0,0,68,68,0.40,669512
p0583l00s000302.c,1187514,23777,8567,233618,9103,0,0,0,0.63,0,0,0,0,166,166,0.63,941740
p0583l00s000419.c,870204,16765,1149,177325,8721,0,0,0,0.39,0,0,0,0,67,67,0.39,602030
p0583l00s000223.c,872428,17132,2226,178124,8775,0,0,0,0.41,0,0,0,0,70,70,0.41,671193
p0583l00s000355.c,871497,16926,2342,178525,8749,0,0,0,0.40,0,0,0,0,69,69,0.40,636427
p0583l00s000245.c,865058,16987,2088,177302,8709,0,0,0,0.41,0,0,0,0,67,67,0.41,670022
